Food name,Measure,Weight ,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Calcium,Iron,Sodium,Potassium,Vitamin A,Vitamin C,Vitamin B12
Apple with skin (7cm.diam),1,138,72,tr,19,14,2.6,8,0.2,1,148,4,6,0
"Apricots, raw",3,105,50,1,12,10,2.1,14,0.4,1,272,101,11,0
Banana,1,118,105,1,27,14,2.1,6,0.3,1,422,4,10,0
Blackberries (Saskatoon Berries),125mL,76,33,1,7,4,4,22,0.5,1,123,8,16,0
"Blueberries, raw",125mL,77,44,1,11,8,2,5,0.2,1,59,2,7,0
"Cherries, sweet",10,68,43,1,11,9,1.4,9,0.2,0,151,2,5,0
"Cranberries, dried, sweetened",60mL,31,95,tr,25,20,1.8,3,0.2,1,12,0,tr,0
"Grapefruit, pink or red",  1/2 ,123,52,1,13,8,2,27,0.1,0,166,71,38,0
Grapes,20,100,69,1,18,15,1.2,10,0.4,2,191,3,11,0
"Melon, cantaloupe, cubes",125mL,85,29,1,7,7,0.6,8,0.2,14,226,143,31,0
"Melon, watermelon, cubes",125mL,80,24,tr,6,5,0.3,6,0.2,1,90,22,7,0
Nectarine,1,136,60,1,14,11,2.3,8,0.4,0,273,18,7,0
Orange,1,131,62,1,15,12,2.3,52,0.1,0,237,8,70,0
Peach,1,98,38,1,9,8,1.9,6,0.2,0,186,16,6,0
Pear with skin,1,166,96,1,26,16,5,15,0.3,2,198,2,7,0
"Pineapple, cubes", 125mL,82,42,tr,11,8,1.1,11,0.2,1,88,2,46,0
Plum,1,66,30,tr,8,7,1.1,4,0.1,0,104,11,6,0
Pomegranate (9.5cm diam),  1/2 ,77,53,1,13,13,0.5,2,0.2,2,200,2,5,0
Raspberries,125mL,65,34,1,8,3,4.2,16,0.4,1,98,1,17,0
"Rhubarb, frozen, cooked, with added sugar",125mL,127,147,tr,40,36,2.5,184,0.3,1,122,5,4,0
Strawberries,7,84,27,1,6,4,1.9,13,0.4,1,129,1,49,0
Tangerine (mandarin),1,84,45,1,11,9,1.5,31,0.1,2,139,11,22,0
